RA,Fase,Turma,Ano nasc,Idade 22,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,ano_base,INDE 2023,Pedra 2023,Data de Nasc,Idade,Pedra 23,INDE 23,IPP,Mat,Por,Ing,INDE 2024,Pedra 2024,Avaliador5,Avaliador6,Escola,Ativo/ Inativo,Defasagem_final,Avaliador1_id,Avaliador2_id,Avaliador3_id,Avaliador4_id,Avaliador5_id,Avaliador6_id,FaseIdeal_txt,Fase_num,Fase_sufixo,FaseIdeal_num,ra_num,INDE_final,INDE_fonte,PEDRA_final,PEDRA_fonte
RA-1,7,A,2003,19,Menina,2016,Escola Pública,Ametista,Ametista,Quartzo,5.783,753,18,10,4,avaliador-5,Mantido na Fase atual,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Promovido de Fase,avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,Requer avaliação,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,1,5.783,INDE 2022,Quartzo,Pedra 2022
RA-2,7,A,2005,17,Menina,2017,Rede Decisão,Ametista,Ametista,Ametista,7.055,469,8,3,4,avaliador-5,Promovido de Fase,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Promovido de Fase,avaliador-31,Promovido de Fase + Bolsa,8.8,5.2,6.3,Sem limitações,6.8,6.3,4.5,9.7,Não,Não,6.778,10.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,0,5,27,28,31,,,Fase 7 (3º EM),7,,7,2,7.055,INDE 2022,Ametista,Pedra 2022
RA-3,7,A,2005,17,Menina,2016,Rede Decisão,Ametista,Ametista,Ágata,6.591,629,13,6,4,avaliador-5,Promovido de Fase,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Promovido de Fase + Bolsa,avaliador-31,Promovido de Fase + Bolsa,0.0,7.9,5.6,Sem limitações,5.6,5.8,4.0,6.9,Não,Não,7.556,10.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,0,5,27,28,31,,,Fase 7 (3º EM),7,,7,3,6.591,INDE 2022,Ágata,Pedra 2022
RA-4,7,A,2005,17,Menino,2017,Rede Decisão,Ametista,Ametista,Quartzo,5.951,731,15,7,4,avaliador-5,Promovido de Fase,avaliador-27,Mantido na Fase atual,avaliador-28,Mantido na Fase atual,avaliador-31,Mantido na Fase atual,8.8,4.5,5.6,Requer avaliação,5.0,2.8,3.5,8.7,Não,Não,5.278,10.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,0,5,27,28,31,,,Fase 7 (3º EM),7,,7,4,5.951,INDE 2022,Quartzo,Pedra 2022
RA-5,7,A,2005,17,Menina,2016,Rede Decisão,Ametista,Ametista,Ametista,7.427,344,6,2,4,avaliador-5,Promovido de Fase,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Promovido de Fase + Bolsa,avaliador-31,Promovido de Fase + Bolsa,7.9,8.6,5.6,Requer avaliação,5.2,7.0,2.9,5.7,Não,Não,7.389,10.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,0,5,27,28,31,,,Fase 7 (3º EM),7,,7,5,7.427,INDE 2022,Ametista,Pedra 2022
RA-6,7,A,2004,18,Menina,2021,Escola Pública,,Ágata,Quartzo,5.848,745,16,8,4,avaliador-5,Promovido de Fase,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Promovido de Fase + Bolsa,avaliador-31,Mantido na Fase atual,7.9,4.5,7.5,Sem limitações,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,6,5.848,INDE 2022,Quartzo,Pedra 2022
RA-7,7,A,2004,18,Menino,2017,Rede Decisão,Ametista,Ametista,Ágata,6.818,550,11,5,4,avaliador-5,Promovido de Fase,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Promovido de Fase + Bolsa,avaliador-31,Mantido na Fase atual,0.0,8.4,7.5,Sem limitações,7.6,8.2,5.7,9.0,Não,Não,7.667,5.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,7,6.818,INDE 2022,Ágata,Pedra 2022
RA-8,7,A,2002,20,Menina,2018,Escola Pública,Quartzo,Ágata,Quartzo,4.786,836,21,13,4,avaliador-5,Mantido na Fase atual,avaliador-27,Mantido na Fase atual,avaliador-28,Mantido na Fase atual,avaliador-31,Mantido na Fase atual,7.1,4.6,6.3,Requer avaliação,1.6,1.2,0.7,2.9,Não,Não,6.278,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,8,4.786,INDE 2022,Quartzo,Pedra 2022
RA-9,7,A,2004,18,Menina,2019,Escola Pública,Ametista,Ametista,Topázio,8.109,113,1,1,4,avaliador-5,Promovido de Fase,avaliador-27,Mantido na Fase atual,avaliador-28,Promovido de Fase + Bolsa,avaliador-31,Mantido na Fase + Bolsa,8.8,9.5,7.5,Sem limitações,6.7,5.5,6.0,8.7,Sim,Sim,9.5,5.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,9,8.109,INDE 2022,Topázio,Pedra 2022
RA-10,7,A,2004,18,Menina,2021,Escola Pública,,Ágata,Quartzo,5.784,752,17,9,4,avaliador-5,Promovido de Fase,avaliador-27,Mantido na Fase atual,avaliador-28,Mantido na Fase atual,avaliador-31,Mantido na Fase atual,8.3,5.2,5.0,Requer avaliação,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,10,5.784,INDE 2022,Quartzo,Pedra 2022
