ano_base,Fase_num,n,ida_media,ida_mediana
2022,0,190,7.14,7.3
2022,1,192,6.4640625,6.8
2022,2,155,5.406451612903226,5.5
2022,3,148,5.141891891891892,5.2
2022,4,76,6.052631578947368,6.1
2022,5,60,5.873333333333333,6.55
2022,6,18,6.694444444444445,6.85
2022,7,21,5.252380952380952,5.0
2023,1,173,6.814450867052024,6.9
2023,2,199,6.736683417085427,6.8
2023,3,132,5.746969696969697,5.7
2023,4,94,6.004255319148936,6.1
2023,5,65,5.904615384615385,6.0
2023,6,33,6.809090909090909,6.8
2023,7,10,7.81,7.8
2023,8,0,,
2024,1,185,6.79054054054054,7.25
2024,2,185,6.25,6.5
2024,3,211,5.347630331753554,5.0
2024,4,115,5.8789855072463775,5.666666666666667
2024,5,100,6.453333333333334,6.75
2024,6,25,7.23,7.333333333333333
2024,7,37,5.81036036036036,7.066666666666666
2024,8,1,8.0,8.0
2024,9,0,,
