RA,Pedra 22,Pedra 23,Pedra 24,score_22,score_23,score_24,qtd_pontos_validos,elegivel_analise,analise,analise_resumida
RA-1,Quartzo,,,1.0,,,1,Não,Informação insuficiente,Informação insuficiente
RA-10,Quartzo,,,1.0,,,1,Não,Informação insuficiente,Informação insuficiente
RA-100,Ametista,,,3.0,,,1,Não,Informação insuficiente,Informação insuficiente
RA-1000,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1001,,Topázio,Ametista,,4.0,3.0,2,Sim,Piora consistente,Piorou
RA-1002,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1003,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1004,,Topázio,Ametista,,4.0,3.0,2,Sim,Piora consistente,Piorou
RA-1005,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1006,,Topázio,Ametista,,4.0,3.0,2,Sim,Piora consistente,Piorou
RA-1007,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1008,,Topázio,Ágata,,4.0,2.0,2,Sim,Piora consistente,Piorou
RA-1009,,Ametista,Ágata,,3.0,2.0,2,Sim,Piora consistente,Piorou
RA-101,Ametista,,,3.0,,,1,Não,Informação insuficiente,Informação insuficiente
RA-1010,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1011,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1012,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1013,,Ametista,Quartzo,,3.0,1.0,2,Sim,Piora consistente,Piorou
RA-1014,,Topázio,Ágata,,4.0,2.0,2,Sim,Piora consistente,Piorou
RA-1015,,Ametista,Ágata,,3.0,2.0,2,Sim,Piora consistente,Piorou
RA-1016,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1017,,Ágata,Ametista,,2.0,3.0,2,Sim,Melhora consistente,Melhorou
RA-1018,,Ágata,Ametista,,2.0,3.0,2,Sim,Melhora consistente,Melhorou
RA-1019,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-102,Ágata,,,2.0,,,1,Não,Informação insuficiente,Informação insuficiente
RA-1020,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1021,,Ágata,Topázio,,2.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1022,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1023,,Topázio,Topázio,,4.0,4.0,2,Sim,Estável,Estável
RA-1024,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1025,,Topázio,Ametista,,4.0,3.0,2,Sim,Piora consistente,Piorou
RA-1026,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1027,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1028,,Ágata,Ametista,,2.0,3.0,2,Sim,Melhora consistente,Melhorou
RA-1029,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-103,Topázio,Topázio,Topázio,4.0,4.0,4.0,3,Sim,Estável,Estável
RA-1030,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1031,,Ametista,Ágata,,3.0,2.0,2,Sim,Piora consistente,Piorou
RA-1032,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1033,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1034,,Ametista,Topázio,,3.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1035,,Ágata,Ametista,,2.0,3.0,2,Sim,Melhora consistente,Melhorou
RA-1036,,Ágata,Topázio,,2.0,4.0,2,Sim,Melhora consistente,Melhorou
RA-1037,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1038,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1039,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-104,Ágata,,,2.0,,,1,Não,Informação insuficiente,Informação insuficiente
RA-1040,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1041,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1042,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1043,,Ágata,Ametista,,2.0,3.0,2,Sim,Melhora consistente,Melhorou
RA-1044,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1045,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1046,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1047,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1048,,Ametista,Ametista,,3.0,3.0,2,Sim,Estável,Estável
RA-1049,,Ametista,Ágata,,3.0,2.0,2,Sim,Piora consistente,Piorou
RA-105,Ágata,,,2.0,,,1,Não,Informação insuficiente,Informação insuficiente
RA-1050,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1051,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
RA-1052,,Ágata,Ametista,,2.0,3.0,2,Sim,Melhora consistente,Melhorou
RA-1053,,,,,,,0,Não,Informação insuficiente,Informação insuficiente
