RA,pedra_referencia,ordem_referencia,pedra,score_pedra
RA-1,Pedra 22,1,Quartzo,1
RA-2,Pedra 22,1,Ametista,3
RA-3,Pedra 22,1,Ágata,2
RA-4,Pedra 22,1,Quartzo,1
RA-5,Pedra 22,1,Ametista,3
RA-6,Pedra 22,1,Quartzo,1
RA-7,Pedra 22,1,Ágata,2
RA-8,Pedra 22,1,Quartzo,1
RA-9,Pedra 22,1,Topázio,4
RA-10,Pedra 22,1,Quartzo,1
RA-11,Pedra 22,1,Quartzo,1
RA-12,Pedra 22,1,Quartzo,1
RA-13,Pedra 22,1,Ágata,2
RA-14,Pedra 22,1,Ágata,2
RA-15,Pedra 22,1,Ametista,3
RA-16,Pedra 22,1,Ágata,2
RA-17,Pedra 22,1,Topázio,4
RA-18,Pedra 22,1,Ametista,3
RA-19,Pedra 22,1,Ametista,3
RA-20,Pedra 22,1,Ametista,3
RA-21,Pedra 22,1,Ágata,2
RA-22,Pedra 22,1,Ametista,3
RA-23,Pedra 22,1,Ametista,3
RA-24,Pedra 22,1,Topázio,4
RA-25,Pedra 22,1,Ametista,3
RA-26,Pedra 22,1,Topázio,4
RA-27,Pedra 22,1,Ametista,3
RA-28,Pedra 22,1,Ágata,2
RA-29,Pedra 22,1,Quartzo,1
RA-30,Pedra 22,1,Ametista,3
RA-31,Pedra 22,1,Topázio,4
RA-32,Pedra 22,1,Ametista,3
RA-33,Pedra 22,1,Quartzo,1
RA-34,Pedra 22,1,Ágata,2
RA-35,Pedra 22,1,Topázio,4
RA-36,Pedra 22,1,Ametista,3
RA-37,Pedra 22,1,Quartzo,1
RA-38,Pedra 22,1,Topázio,4
RA-39,Pedra 22,1,Ágata,2
RA-40,Pedra 22,1,Ametista,3
RA-41,Pedra 22,1,Quartzo,1
RA-42,Pedra 22,1,Ágata,2
RA-43,Pedra 22,1,Quartzo,1
RA-44,Pedra 22,1,Quartzo,1
RA-45,Pedra 22,1,Ametista,3
RA-46,Pedra 22,1,Ágata,2
RA-47,Pedra 22,1,Quartzo,1
RA-48,Pedra 22,1,Ametista,3
RA-49,Pedra 22,1,Ágata,2
RA-50,Pedra 22,1,Ametista,3
RA-51,Pedra 22,1,Ágata,2
RA-52,Pedra 22,1,Ametista,3
RA-53,Pedra 22,1,Ágata,2
RA-54,Pedra 22,1,Ágata,2
RA-55,Pedra 22,1,Ágata,2
RA-56,Pedra 22,1,Topázio,4
RA-57,Pedra 22,1,Ametista,3
RA-58,Pedra 22,1,Topázio,4
RA-59,Pedra 22,1,Ametista,3
RA-60,Pedra 22,1,Quartzo,1
RA-61,Pedra 22,1,Ametista,3
RA-62,Pedra 22,1,Ametista,3
RA-63,Pedra 22,1,Topázio,4
RA-64,Pedra 22,1,Ametista,3
RA-65,Pedra 22,1,Ametista,3
RA-66,Pedra 22,1,Quartzo,1
RA-67,Pedra 22,1,Quartzo,1
RA-68,Pedra 22,1,Ágata,2
RA-69,Pedra 22,1,Quartzo,1
RA-70,Pedra 22,1,Quartzo,1
RA-71,Pedra 22,1,Quartzo,1
RA-72,Pedra 22,1,Ametista,3
RA-73,Pedra 22,1,Quartzo,1
RA-74,Pedra 22,1,Quartzo,1
RA-75,Pedra 22,1,Quartzo,1
RA-76,Pedra 22,1,Topázio,4
