RA,ra_num,ano_base,Fase_num,perfil_intervencao,INDE_final,IDA,IEG,IPS,IPP,f_pedagogico,f_engajamento,f_socioemo,f_alerta_docente
RA-861,861,2023,,ALERTA_DOCENTE,9.31095,9.6,10.0,8.13,8.4375,0,0,0,1
RA-862,862,2023,,OK,8.2212,8.9,9.1,8.14,7.5,0,0,0,0
RA-863,863,2023,,CRITICO_SOCIOEMO,5.92975,6.3,7.6,3.14,5.9375,1,1,1,0
RA-864,864,2023,,CRITICO_ENGAJAMENTO,7.034,6.3,7.6,8.14,7.5,0,1,0,0
RA-865,865,2023,,OK,8.1552,7.4,8.7,7.52,7.5,0,0,0,0
RA-866,866,2023,,OK,7.679,8.6,8.3,8.76,7.5,0,0,0,0
RA-867,867,2023,,OK,8.6992,8.9,8.6,8.76,7.5,0,0,0,0
RA-868,868,2023,,OK,8.63895,7.1,9.5,8.76,7.1875,0,0,0,0
RA-869,869,2023,,ALERTA_DOCENTE,9.2587,9.6,10.0,8.76,8.125,0,0,0,1
RA-870,870,2023,,CRITICO_PEDAGOGICO,4.909,1.5,8.5,8.76,5.0,1,0,0,0
RA-871,871,2023,,CRITICO_SOCIOEMO,6.8617,6.9,9.5,3.76,4.375,0,0,1,0
RA-872,872,2023,,CRITICO_SOCIOEMO,5.267,4.3,6.7,2.52,6.25,1,1,1,0
RA-873,873,2023,,OK,7.8012,7.0,9.7,7.52,6.25,0,0,0,0
RA-874,874,2023,,CRITICO_PEDAGOGICO,5.811,4.8,8.2,7.52,6.25,1,0,0,0
RA-875,875,2023,,OK,8.2712,7.3,9.5,7.52,7.5,0,0,0,0
RA-876,876,2023,,OK,8.6492,7.5,9.4,7.52,7.5,0,0,0,0
RA-877,877,2023,,OK,7.4722,6.9,9.5,7.52,5.0,0,0,0,0
RA-878,878,2023,,CRITICO_SOCIOEMO,6.24,8.1,9.5,2.52,5.0,1,0,1,0
RA-879,879,2023,,CRITICO_SOCIOEMO,6.8225,8.2,9.8,2.52,6.875,0,0,1,0
RA-880,880,2023,,CRITICO_SOCIOEMO,6.724,6.3,9.4,2.52,6.25,1,0,1,0
RA-881,881,2023,,OK,7.7322,7.3,8.9,7.52,5.0,0,0,0,0
RA-882,882,2023,,CRITICO_SOCIOEMO,6.0092,4.7,8.6,2.52,3.75,1,0,1,0
RA-883,883,2023,,OK,8.5082,8.4,9.7,6.89,6.25,0,0,0,0
RA-884,884,2023,,CRITICO_SOCIOEMO,8.4587,8.8,9.7,4.39,6.875,0,0,1,0
RA-885,885,2023,,OK,8.8252,8.7,9.8,7.52,7.5,0,0,0,0
RA-886,886,2023,,OK,8.6422,8.1,9.4,7.52,7.5,0,0,0,0
RA-887,887,2023,,OK,8.6718,8.4,8.9,7.52,7.5,0,0,0,0
RA-888,888,2023,,OK,8.9182,8.8,10.0,7.52,7.5,0,0,0,0
RA-889,889,2023,,OK,8.8092,9.1,9.5,6.89,7.5,0,0,0,0
RA-890,890,2023,,CRITICO_SOCIOEMO,6.989,8.3,9.1,2.52,6.25,0,0,1,0
RA-891,891,2023,,OK,7.8882,7.5,9.5,6.89,7.5,0,0,0,0
RA-684,684,2023,,OK,7.4277,6.5,8.1,7.52,6.875,0,0,0,0
RA-892,892,2023,,OK,8.8112,8.3,9.6,6.89,7.5,0,0,0,0
RA-857,857,2023,,OK,8.1442,8.5,9.0,7.52,7.5,0,0,0,0
RA-893,893,2023,,OK,8.8042,9.3,10.0,7.52,7.5,0,0,0,0
RA-894,894,2023,,OK,8.8142,9.4,9.9,7.52,7.5,0,0,0,0
RA-690,690,2023,,OK,8.6112,9.1,9.8,6.89,7.5,0,0,0,0
RA-895,895,2023,,OK,8.5397,6.8,9.5,7.52,6.875,0,0,0,0
RA-896,896,2023,,OK,9.0912,8.5,10.0,6.89,7.5,0,0,0,0
RA-693,693,2023,,OK,9.0112,8.5,9.4,6.89,7.5,0,0,0,0
RA-675,675,2023,,OK,8.3577,8.3,8.0,7.52,6.875,0,0,0,0
RA-850,850,2023,,CRITICO_PEDAGOGICO,6.06525,7.3,7.9,6.26,6.5625,1,0,0,0
RA-897,897,2023,,CRITICO_PEDAGOGICO,5.48225,6.5,8.1,7.52,6.5625,1,0,0,0
RA-842,842,2023,,CRITICO_SOCIOEMO,7.2117,7.9,8.5,3.77,5.625,0,0,1,0
RA-898,898,2023,,CRITICO_SOCIOEMO,8.4217,9.4,9.8,3.77,8.125,0,0,1,1
RA-899,899,2023,,CRITICO_SOCIOEMO,8.8452,9.5,9.8,3.77,7.5,0,0,1,0
RA-900,900,2023,,ALERTA_DOCENTE,8.8947,7.8,9.8,9.38,8.125,0,0,0,1
RA-846,846,2023,,CRITICO_SOCIOEMO,7.4637,6.0,8.2,3.77,5.625,0,0,1,0
RA-901,901,2023,,CRITICO_SOCIOEMO,7.3112,7.5,8.7,3.77,6.25,0,0,1,0
RA-743,743,2023,,CRITICO_SOCIOEMO,6.659,7.1,9.1,3.77,7.5,1,0,1,0
RA-681,681,2023,,CRITICO_SOCIOEMO,6.2955,8.3,7.8,3.77,5.625,1,0,1,0
RA-902,902,2023,,CRITICO_SOCIOEMO,5.97345,3.9,9.3,2.52,5.3125,1,0,1,0
RA-903,903,2023,,OK,8.5242,7.8,9.6,5.02,7.5,0,0,0,0
RA-851,851,2023,,CRITICO_SOCIOEMO,6.1683,6.6,7.5,2.52,5.625,1,1,1,0
RA-847,847,2023,,CRITICO_SOCIOEMO,6.5418,7.6,9.1,2.52,5.0,1,0,1,0
RA-904,904,2023,,OK,8.140783333,6.4,9.3,7.52,7.8125,0,0,0,0
RA-858,858,2023,,CRITICO_SOCIOEMO,7.248833333,9.3,8.1,3.77,8.125,0,0,1,1
RA-905,905,2023,,OK,7.831033333,8.3,9.4,7.52,6.875,0,0,0,0
RA-702,702,2023,,OK,8.239866667,9.3,10.0,5.63,7.5,0,0,0,0
RA-725,725,2023,,ALERTA_DOCENTE,8.117366667,8.4,9.0,7.52,8.125,0,0,0,1
RA-906,906,2023,,OK,8.1922,8.6,9.2,7.52,7.5,0,0,0,0
RA-907,907,2023,,ALERTA_DOCENTE,8.962033333,9.3,9.6,7.52,8.125,0,0,0,1
RA-908,908,2023,,ALERTA_DOCENTE,8.479366667,7.9,9.0,7.52,8.125,0,0,0,1
RA-909,909,2023,,ALERTA_DOCENTE,8.486033333,9.2,9.9,7.52,8.125,0,0,0,1
RA-708,708,2023,,ALERTA_DOCENTE,7.5105,9.2,9.8,7.52,8.125,0,0,0,1
RA-910,910,2023,,ALERTA_DOCENTE,7.801,8.9,8.8,7.52,8.75,0,0,0,1
