RA,ra_num,ano_base,Fase_num,tipo_alerta,IAA,IDA,IEG,IAA_nivel,IDA_nivel,IEG_nivel,superestima,subestima,risco_silencioso
RA-1,1,2022,7,SEM_ALERTA,8.3,4.0,4.1,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-2,2,2022,7,SEM_ALERTA,8.8,6.8,5.2,IAA_alto,IDA_alto,IEG_baixo,0,0,0
RA-3,3,2022,7,SEM_ALERTA,0.0,5.6,7.9,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-4,4,2022,7,GAP_SUPERESTIMA,8.8,5.0,4.5,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-5,5,2022,7,SEM_ALERTA,7.9,5.2,8.6,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-6,6,2022,7,SEM_ALERTA,7.9,3.3,4.5,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-7,7,2022,7,GAP_SUBESTIMA,0.0,7.6,8.4,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-8,8,2022,7,SEM_ALERTA,7.1,1.6,4.6,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-9,9,2022,7,SEM_ALERTA,8.8,6.7,9.5,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-10,10,2022,7,SEM_ALERTA,8.3,4.1,5.2,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-11,11,2022,7,GAP_SUPERESTIMA,9.2,3.0,4.2,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-12,12,2022,7,SEM_ALERTA,0.0,1.5,4.0,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-13,13,2022,7,SEM_ALERTA,7.9,4.7,7.4,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-14,14,2022,7,SEM_ALERTA,7.9,4.0,8.3,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-15,15,2022,7,SEM_ALERTA,8.8,7.3,10.0,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-16,16,2022,7,SEM_ALERTA,7.9,3.5,8.3,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-17,17,2022,7,SEM_ALERTA,8.8,7.8,10.0,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-18,18,2022,7,GAP_SUBESTIMA,6.3,9.0,8.7,IAA_baixo,IDA_alto,IEG_alto,0,1,0
RA-19,19,2022,7,GAP_SUBESTIMA,7.9,8.0,9.5,IAA_baixo,IDA_alto,IEG_alto,0,1,0
RA-20,20,2022,7,GAP_SUBESTIMA,7.1,7.8,10.0,IAA_baixo,IDA_alto,IEG_alto,0,1,0
RA-21,21,2022,7,RISCO_SILENCIOSO,9.6,3.8,9.2,IAA_alto,IDA_baixo,IEG_alto,1,0,1
RA-22,22,2022,6,GAP_SUBESTIMA,8.3,6.7,7.4,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-23,23,2022,6,GAP_SUBESTIMA,8.3,6.7,8.2,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-24,24,2022,6,SEM_ALERTA,9.2,8.6,7.9,IAA_alto,IDA_alto,IEG_baixo,0,0,0
RA-25,25,2022,6,GAP_SUBESTIMA,8.3,6.9,8.3,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-26,26,2022,6,SEM_ALERTA,9.6,8.0,8.8,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-27,27,2022,6,GAP_SUBESTIMA,0.0,8.0,7.6,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-28,28,2022,6,SEM_ALERTA,7.9,5.0,6.1,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-29,29,2022,6,SEM_ALERTA,0.0,3.7,4.0,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-30,30,2022,6,SEM_ALERTA,8.8,7.5,6.4,IAA_alto,IDA_alto,IEG_baixo,0,0,0
RA-31,31,2022,6,SEM_ALERTA,10.0,8.0,9.5,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-32,32,2022,6,GAP_SUPERESTIMA,8.8,6.1,5.2,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-33,33,2022,6,SEM_ALERTA,0.0,4.8,4.6,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-34,34,2022,6,GAP_SUPERESTIMA,9.6,3.8,4.8,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-35,35,2022,6,SEM_ALERTA,10.0,8.5,9.6,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-36,36,2022,6,SEM_ALERTA,9.2,6.8,9.0,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-37,37,2022,6,SEM_ALERTA,0.0,5.9,5.4,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-38,38,2022,6,SEM_ALERTA,9.2,8.6,8.9,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-39,39,2022,6,GAP_SUBESTIMA,0.0,6.9,4.8,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-40,40,2022,5,GAP_SUBESTIMA,7.9,6.8,7.8,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-41,41,2022,5,GAP_SUPERESTIMA,9.2,5.6,6.1,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-42,42,2022,5,SEM_ALERTA,8.3,4.8,7.9,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-43,43,2022,5,SEM_ALERTA,6.3,4.3,6.5,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-44,44,2022,5,SEM_ALERTA,5.0,3.0,5.9,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-45,45,2022,5,GAP_SUBESTIMA,7.9,6.8,8.9,IAA_baixo,IDA_alto,IEG_alto,0,1,0
RA-46,46,2022,5,GAP_SUPERESTIMA,8.8,2.1,8.4,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-47,47,2022,5,SEM_ALERTA,7.9,2.1,6.3,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-48,48,2022,5,GAP_SUBESTIMA,6.7,8.1,8.4,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-49,49,2022,5,SEM_ALERTA,7.5,3.9,7.4,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-50,50,2022,5,GAP_SUBESTIMA,7.5,7.8,8.4,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-51,51,2022,5,GAP_SUPERESTIMA,8.8,5.0,7.6,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-52,52,2022,5,RISCO_SILENCIOSO,9.6,6.2,8.9,IAA_alto,IDA_baixo,IEG_alto,1,0,1
RA-53,53,2022,5,SEM_ALERTA,9.2,7.0,7.0,IAA_alto,IDA_alto,IEG_baixo,0,0,0
RA-54,54,2022,5,SEM_ALERTA,7.9,4.8,6.9,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-55,55,2022,5,GAP_SUBESTIMA,7.1,7.5,7.6,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-56,56,2022,5,SEM_ALERTA,10.0,7.0,10.0,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-57,57,2022,5,GAP_SUBESTIMA,7.1,8.4,8.1,IAA_baixo,IDA_alto,IEG_baixo,0,1,0
RA-58,58,2022,5,SEM_ALERTA,9.6,7.2,9.2,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-59,59,2022,5,SEM_ALERTA,9.2,7.2,9.3,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-60,60,2022,5,SEM_ALERTA,6.7,4.9,6.0,IAA_baixo,IDA_baixo,IEG_baixo,0,0,0
RA-61,61,2022,5,GAP_SUPERESTIMA,9.2,5.8,7.4,IAA_alto,IDA_baixo,IEG_baixo,1,0,0
RA-62,62,2022,5,SEM_ALERTA,8.8,9.3,9.4,IAA_alto,IDA_alto,IEG_alto,0,0,0
RA-63,63,2022,5,GAP_SUBESTIMA,8.3,8.7,9.1,IAA_baixo,IDA_alto,IEG_alto,0,1,0
