ra_num,anos,inde_media,inde_dp,inde_min,inde_max,ano_ultimo,Fase_num,RA
113,2,5.037768451533333,2.8365849471385225,3.032,7.043536903066667,2024,5,RA-113
144,2,6.5856666665,2.2561420367415796,4.990333333,8.181,2023,5,RA-144
1116,2,5.373005555400001,2.2394464594764467,3.7894777778,6.956533333,2024,3,RA-1116
246,3,7.212055555666667,2.1490315189888434,4.7404,8.639,2024,7,RA-246
71,2,5.8485499999999995,2.1447255780169177,4.332,7.3651,2023,6,RA-71
270,3,7.000394444333334,1.9159174437934028,4.79255,8.226,2024,7,RA-270
39,2,7.3716666664999995,1.8931605552610806,6.033,8.710333333,2023,7,RA-39
951,2,7.66927142855,1.7266537444333983,6.4483428571,8.8902,2024,,RA-951
672,3,6.084704611366667,1.6856254685362064,4.2118138341,7.48,2024,1,RA-672
153,3,6.535605555666667,1.52373037160255,4.78185,7.535,2024,7,RA-153
104,2,5.282500000000001,1.4601755031502213,4.25,6.315,2023,5,RA-104
484,3,5.353648108111112,1.4440770786641277,3.8354776573333336,6.71,2024,3,RA-484
1107,2,6.9529,1.3856464484131585,5.9731,7.9327,2024,3,RA-1107
451,2,7.410016666500001,1.3802960068664778,6.434,8.386033333,2023,2,RA-451
1014,2,7.287086363650001,1.3733620751316238,6.315972727300001,8.2582,2024,,RA-1014
798,3,6.2471329003,1.362144638738839,4.6743653679,7.049,2024,2,RA-798
946,2,7.629961904750001,1.3466680289108732,6.677723809500001,8.5822,2024,,RA-946
916,2,6.44702658105,1.331020213624145,5.5058531621,7.3882,2024,,RA-916
1013,2,6.703827990400001,1.3008954716237144,5.7839559808,7.6237,2024,,RA-1013
918,2,6.5770285088,1.3006118957829276,5.657357017600001,7.4967,2024,,RA-918
1195,2,6.5929030798333335,1.2948700778924904,5.677291667,7.5085144926666665,2024,5,RA-1195
680,3,6.361190476233333,1.2837470272972538,4.9800714287000005,7.518,2024,2,RA-680
731,3,6.231895779233334,1.2795626341600725,4.7704873377000006,7.151,2024,2,RA-731
960,2,6.1853738095,1.2718392956024298,5.286047619,7.0847,2024,1,RA-960
528,3,6.766843358433333,1.257078735003373,5.335,7.6892,2024,3,RA-528
392,3,5.783051556466667,1.2312434774952135,4.3639463364,6.567208333,2024,4,RA-392
908,2,7.6218294565,1.2127407533286922,6.764292246,8.479366667,2024,,RA-908
967,2,6.288655357150001,1.196487808291571,5.442610714300001,7.1347,2024,1,RA-967
239,3,5.921838067266667,1.1836084992867748,4.572,6.782180868800001,2024,4,RA-239
1077,2,6.377682870366667,1.179195493266465,5.543865740733334,7.2115,2024,3,RA-1077
668,2,5.1914666665,1.1688003686135817,4.365,6.017933333,2023,2,RA-668
956,2,6.92439532275,1.1409941167529976,6.1175906455,7.7312,2024,1,RA-956
1100,2,7.455370833166667,1.139378833959711,6.649708333333334,8.261033333,2024,3,RA-1100
1071,2,5.6094478354,1.1378557227946249,4.8048623378,6.414033333,2024,2,RA-1071
633,3,6.453223391822223,1.137296571141388,5.228470175466667,7.476,2024,3,RA-633
461,3,6.744551976366666,1.1307067157214277,5.451,7.5447559291,2024,3,RA-461
202,3,6.447952381066667,1.1155484715921231,5.201,7.3512154762,2024,5,RA-202
147,3,6.827992640711112,1.1154842493660817,5.5425,7.541,2024,5,RA-147
733,3,7.942341666666667,1.1152959406401213,6.684,8.808825,2024,1,RA-733
1137,2,7.963559659733334,1.102813645710094,7.1837526524666675,8.743366667,2024,3,RA-1137
1006,2,7.81614444445,1.0975082918137962,7.040088888900001,8.5922,2024,,RA-1006
325,3,7.415711111077779,1.08543935049673,6.243,8.385133333233336,2024,3,RA-325
352,3,7.217941533866667,1.072541295595769,5.9794829346,7.840341667,2024,4,RA-352
1019,2,7.93464426395,1.071423653551598,7.177033333,8.692255194900001,2024,1,RA-1019
192,3,6.143659091022222,1.0577821520964068,4.932,6.882960606066668,2024,5,RA-192
1079,2,6.170937331466667,1.054431977419591,5.4253413299333335,6.916533333,2024,3,RA-1079
774,3,6.374923809533333,1.0529741227160148,5.685771428600001,7.587,2024,,RA-774
