RA,ra_num,ano_base,Fase_num,Ativo/ Inativo,INDE_final,IPS,IEG,status
RA-1275,1275,2024,,Cursando,7.611366666700001,6.26,8.6666666665,CURSANDO
RA-1276,1276,2024,,Cursando,8.002866666700001,3.76,9.3333333335,CURSANDO
RA-1277,1277,2024,,Cursando,7.952200000100001,3.76,9.0833333335,CURSANDO
RA-868,868,2024,,Cursando,7.156366666600001,3.76,9.75,CURSANDO
RA-1278,1278,2024,,Cursando,5.444199999900001,3.76,4.1666666665,CURSANDO
RA-1279,1279,2024,,Cursando,8.0822,6.26,10.0,CURSANDO
RA-861,861,2024,,Cursando,8.959700000000002,7.51,10.0,CURSANDO
RA-862,862,2024,,Cursando,7.346677272700001,7.51,8.6136363635,CURSANDO
RA-1280,1280,2024,,Cursando,8.152624242500002,6.26,9.5454545455,CURSANDO
RA-1281,1281,2024,,Cursando,7.982890909100001,6.26,9.5454545455,CURSANDO
RA-895,895,2024,,Cursando,8.2579575757,6.26,9.5454545455,CURSANDO
RA-884,884,2024,,Cursando,8.0345030302,6.26,8.818181818,CURSANDO
RA-1282,1282,2024,,Cursando,7.8769272727000015,6.26,8.1136363635,CURSANDO
RA-889,889,2024,,Cursando,8.191290909100001,6.26,9.2954545455,CURSANDO
RA-867,867,2024,,Cursando,7.583018181800001,7.51,7.409090909,CURSANDO
RA-1283,1283,2024,,Cursando,8.3033538462,7.51,9.230769231,CURSANDO
RA-891,891,2024,,Cursando,8.035957575700001,6.26,9.0454545455,CURSANDO
RA-1284,1284,2024,,Cursando,8.3800152174,2.51,9.347826087,CURSANDO
RA-1012,1012,2024,,Cursando,8.057128571400002,2.51,9.523809524,CURSANDO
RA-1285,1285,2024,,Cursando,8.156578882000002,2.51,8.830227742999998,CURSANDO
RA-1286,1286,2024,,Cursando,5.914801966800001,2.51,5.051759834,CURSANDO
RA-1287,1287,2024,,Cursando,7.619650310500001,2.51,9.3064182195,CURSANDO
RA-1288,1288,2024,,Cursando,7.9208899585,2.51,7.9813664595,CURSANDO
RA-1289,1289,2024,,Cursando,7.2171722223,7.51,9.4444444445,CURSANDO
RA-1290,1290,2024,,Cursando,8.407200000000001,7.51,10.0,CURSANDO
RA-1291,1291,2024,,Cursando,8.079200000000002,7.51,9.5,CURSANDO
RA-885,885,2024,,Cursando,8.2072,7.51,10.0,CURSANDO
RA-1292,1292,2024,,Cursando,6.9031621211,7.51,4.7727272725,CURSANDO
RA-1293,1293,2024,,Cursando,8.005023232300001,7.51,9.4949494945,CURSANDO
RA-888,888,2024,,Cursando,8.1942,6.88,10.0,CURSANDO
RA-1294,1294,2024,,Cursando,7.9493666666,7.51,10.0,CURSANDO
RA-1009,1009,2024,,Cursando,6.395389393900001,2.51,6.8863636365000005,CURSANDO
RA-1013,1013,2024,,Cursando,5.7839559808,2.51,5.6937799039999994,CURSANDO
RA-1295,1295,2024,,Cursando,8.0617454545,2.51,9.5227272725,CURSANDO
RA-1296,1296,2024,,Cursando,7.0574222223000005,2.51,8.4444444445,CURSANDO
RA-863,863,2024,,Cursando,4.6684348484000004,2.51,3.159090909,CURSANDO
RA-1297,1297,2024,,Cursando,7.620247619000001,2.51,9.761904762,CURSANDO
RA-1014,1014,2024,,Cursando,6.315972727300001,2.51,7.8863636365000005,CURSANDO
RA-880,880,2024,,Cursando,6.853080434800001,2.51,8.445652174,CURSANDO
RA-886,886,2024,,Cursando,8.419200000000002,8.13,10.0,CURSANDO
RA-1298,1298,2024,,Cursando,7.577287995300001,7.51,6.643356643500001,CURSANDO
RA-1299,1299,2024,,Cursando,7.069727777800001,7.51,7.638888889,CURSANDO
RA-904,904,2024,,Cursando,7.6352,7.51,8.75,CURSANDO
RA-1300,1300,2024,,Cursando,7.623866666600001,2.51,8.75,CURSANDO
RA-1301,1301,2024,,Cursando,5.6345333333,2.51,2.9166666665000003,CURSANDO
RA-1302,1302,2024,,Cursando,5.758866666800001,2.51,5.416666667,CURSANDO
RA-1303,1303,2024,,Cursando,8.8352,2.51,10.0,CURSANDO
RA-1304,1304,2024,,Cursando,7.085119934500001,8.135,7.9575163395,CURSANDO
RA-1305,1305,2024,,Cursando,6.685221929800001,2.51,8.710526316,CURSANDO
RA-1306,1306,2024,,Cursando,8.503033333400001,8.135,10.0,CURSANDO
RA-702,702,2024,,Cursando,7.665116666600001,2.51,9.75,CURSANDO
RA-725,725,2024,,Cursando,7.0900771929,7.51,7.6710526315,CURSANDO
RA-912,912,2024,,Cursando,7.697103508700001,7.51,9.4736842105,CURSANDO
RA-918,918,2024,,Cursando,5.657357017600001,2.51,8.697368421,CURSANDO
RA-920,920,2024,,Cursando,7.7494938597,7.51,7.6710526315,CURSANDO
RA-1307,1307,2024,,Cursando,6.5940333333000005,6.255,5.833333333500001,CURSANDO
RA-1308,1308,2024,,Cursando,6.876997101400001,7.51,7.445652174,CURSANDO
RA-1309,1309,2024,,Cursando,8.379199999899999,7.51,9.1666666665,CURSANDO
RA-1310,1310,2024,,Cursando,8.3907833334,2.51,9.375,CURSANDO
RA-1311,1311,2024,,Cursando,6.4118666668,2.51,9.166666667,CURSANDO
RA-1312,1312,2024,,Cursando,7.510200000000001,7.51,8.333333333,CURSANDO
RA-1313,1313,2024,,Cursando,8.0155333334,7.51,8.125,CURSANDO
RA-1314,1314,2024,,Cursando,8.239799999999999,7.51,8.541666667,CURSANDO
RA-1315,1315,2024,,Cursando,8.3510666667,7.51,8.3333333335,CURSANDO
RA-921,921,2024,,Cursando,7.2838203209,7.51,8.6631016045,CURSANDO
RA-1316,1316,2024,,Cursando,7.59291123,7.51,8.20855615,CURSANDO
RA-1317,1317,2024,,Cursando,7.665638502700001,7.51,7.0721925135,CURSANDO
RA-897,897,2024,,Cursando,5.2212050505,2.51,2.7525252525,CURSANDO
RA-908,908,2024,,Cursando,6.764292246,7.51,8.14171123,CURSANDO
RA-916,916,2024,,Cursando,5.5058531621,2.51,7.3320158105,CURSANDO
RA-924,924,2024,,Cursando,6.4727360962,7.51,4.598930481,CURSANDO
RA-925,925,2024,,Cursando,6.587019518800001,7.51,7.005347594,CURSANDO
RA-1008,1008,2024,,Cursando,6.8667414438000005,7.51,6.483957219,CURSANDO
RA-919,919,2024,,Cursando,5.799702673800001,6.255,4.692513369,CURSANDO
RA-1318,1318,2024,,Cursando,6.823383155100001,7.51,7.6871657755000005,CURSANDO
RA-1003,1003,2024,,Cursando,7.627588888900001,7.51,8.6944444445,CURSANDO
RA-1004,1004,2024,,Cursando,7.801200000000001,7.51,9.25,CURSANDO
RA-1006,1006,2024,,Cursando,7.040088888900001,7.51,8.4444444445,CURSANDO
RA-1319,1319,2024,,Cursando,7.201526797300001,7.51,5.7516339865,CURSANDO
RA-858,858,2024,,Cursando,6.917866666700001,2.51,6.833333333500001,CURSANDO
RA-905,905,2024,,Cursando,6.3925823529,7.51,7.7794117645,CURSANDO
RA-907,907,2024,,Cursando,7.9400888889,7.51,8.9444444445,CURSANDO
RA-1320,1320,2024,,Cursando,7.8845333333,7.51,9.1666666665,CURSANDO
RA-909,909,2024,,Cursando,7.722033333300001,7.51,8.1666666665,CURSANDO
RA-729,729,2024,,Cursando,6.684533333300001,2.51,8.4166666665,CURSANDO
RA-1321,1321,2024,,Cursando,7.95295,6.885,8.875,CURSANDO
RA-1322,1322,2024,,Cursando,8.47795,7.51,9.0,CURSANDO
RA-1323,1323,2024,,Cursando,7.487366666700001,7.51,9.0833333335,CURSANDO
RA-1324,1324,2024,,Cursando,8.332450000000001,7.51,10.0,CURSANDO
RA-931,931,2024,,Cursando,7.075466666700001,2.51,8.5833333335,CURSANDO
RA-1325,1325,2024,,Cursando,8.9824954545,7.51,9.5227272725,CURSANDO
