RA,ra_num,ano_base,Fase_num,INDE_final,INDE_prev,delta_INDE,queda,IPS,IPS_prev
RA-1,1,2022,7,5.783,,,0,5.6,
RA-1,1,2023,8,,5.783,,0,,5.6
RA-1,1,2024,8,,,,0,,
RA-2,2,2022,7,7.055,,,0,6.3,
RA-2,2,2023,8,,7.055,,0,,6.3
RA-2,2,2024,8,,,,0,,
RA-3,3,2022,7,6.591,,,0,5.6,
RA-4,4,2022,7,5.951,,,0,5.6,
RA-5,5,2022,7,7.427,,,0,5.6,
RA-5,5,2023,8,,7.427,,0,,5.6
RA-6,6,2022,7,5.848,,,0,7.5,
RA-6,6,2023,8,,5.848,,0,,7.5
RA-6,6,2024,8,,,,0,,
RA-7,7,2022,7,6.818,,,0,7.5,
RA-7,7,2023,8,,6.818,,0,,7.5
RA-7,7,2024,8,,,,0,,
RA-8,8,2022,7,4.786,,,0,6.3,
RA-9,9,2022,7,8.109,,,0,7.5,
RA-10,10,2022,7,5.784,,,0,5.0,
RA-11,11,2022,7,5.323,,,0,5.0,
RA-12,12,2022,7,4.832,,,0,6.9,
RA-12,12,2023,8,,4.832,,0,,6.9
RA-12,12,2024,8,,,,0,,
RA-13,13,2022,7,6.902,,,0,7.5,
RA-13,13,2023,8,,6.902,,0,,7.5
RA-13,13,2024,8,,,,0,,
RA-14,14,2022,7,6.793,,,0,7.5,
RA-14,14,2023,8,,6.793,,0,,7.5
RA-14,14,2024,8,,,,0,,
RA-15,15,2022,7,7.783,,,0,7.5,
RA-16,16,2022,7,6.112,,,0,5.0,
RA-17,17,2022,7,8.068,,,0,7.5,
RA-17,17,2023,8,,8.068,,0,,7.5
RA-17,17,2024,8,,,,0,,
RA-18,18,2022,7,7.226,,,0,6.3,
RA-19,19,2022,7,7.665,,,0,7.5,
RA-19,19,2023,7,7.710866667,7.665,0.045866667000000305,0,5.63,7.5
RA-19,19,2024,8,,7.710866667,,0,,5.63
RA-20,20,2022,7,7.535,,,0,6.3,
RA-21,21,2022,7,6.945,,,0,7.5,
RA-21,21,2023,8,,6.945,,0,,7.5
RA-21,21,2024,8,,,,0,,
RA-22,22,2022,6,7.474,,,0,8.1,
RA-23,23,2022,6,7.677,,,0,8.1,
RA-23,23,2023,8,,7.677,,0,,8.1
RA-23,23,2024,8,,,,0,,
RA-24,24,2022,6,8.087,,,0,6.9,
RA-25,25,2022,6,7.979,,,0,8.8,
RA-25,25,2023,8,,7.979,,0,,8.8
RA-25,25,2024,8,,,,0,,
RA-26,26,2022,6,8.677,,,0,10.0,
RA-26,26,2023,7,,8.677,,0,7.52,10.0
RA-26,26,2024,8,,,,0,,7.52
RA-27,27,2022,6,7.124,,,0,8.1,
RA-27,27,2023,7,7.921266667,7.124,0.7972666670000006,0,6.89,8.1
RA-27,27,2024,8,,7.921266667,,0,,6.89
RA-28,28,2022,6,6.242,,,0,7.5,
RA-29,29,2022,6,4.985,,,0,8.8,
RA-29,29,2023,8,,4.985,,0,,8.8
RA-29,29,2024,8,,,,0,,
RA-30,30,2022,6,7.605,,,0,7.5,
RA-31,31,2022,6,8.843,,,0,9.4,
RA-31,31,2023,8,,8.843,,0,,9.4
RA-31,31,2024,8,,,,0,,
RA-32,32,2022,6,7.37,,,0,8.8,
RA-32,32,2023,7,6.716666667,7.37,-0.653333333,1,3.77,8.8
RA-33,33,2022,6,4.952,,,0,7.5,
RA-34,34,2022,6,6.259,,,0,8.1,
RA-34,34,2023,8,,6.259,,0,,8.1
RA-35,35,2022,6,8.965,,,0,9.4,
RA-35,35,2023,8,,8.965,,0,,9.4
RA-35,35,2024,8,,,,0,,
RA-36,36,2022,6,7.876,,,0,6.9,
RA-36,36,2023,8,,7.876,,0,,6.9
RA-36,36,2024,8,,,,0,,
RA-37,37,2022,6,4.95,,,0,5.0,
RA-38,38,2022,6,8.523,,,0,7.5,
RA-38,38,2023,7,8.835333333,8.523,0.31233333299999977,0,7.52,7.5
RA-38,38,2024,8,,8.835333333,,0,,7.52
RA-39,39,2022,6,6.033,,,0,6.9,
RA-39,39,2023,7,8.710333333,6.033,2.677333332999999,0,7.52,6.9
RA-39,39,2024,8,,8.710333333,,0,,7.52
RA-40,40,2022,5,7.203,,,0,7.5,
RA-40,40,2023,6,7.169975,7.203,-0.033025000000000304,1,7.52,7.5
RA-40,40,2024,7,7.098051462066667,7.169975,-0.07192353793333339,1,8.13,7.52
RA-41,41,2022,5,5.581,,,0,5.0,
RA-42,42,2022,5,6.72,,,0,5.6,
RA-42,42,2023,5,6.794516667,6.72,0.07451666700000015,0,5.63,5.6
RA-42,42,2024,6,7.656628769866667,6.794516667,0.862112102866667,0,5.635,5.63
RA-43,43,2022,5,5.486,,,0,5.6,
RA-43,43,2023,6,6.4622,5.486,0.9762000000000004,0,5.63,5.6
RA-44,44,2022,5,5.542,,,0,7.5,
RA-44,44,2023,6,6.258333333,5.542,0.7163333330000006,0,5.01,7.5
RA-45,45,2022,5,7.591,,,0,5.6,
RA-45,45,2023,6,8.303591667,7.591,0.712591666999999,0,6.26,5.6
RA-45,45,2024,7,8.743476190400001,8.303591667,0.4398845234000017,0,9.38,6.26
RA-46,46,2022,5,6.048,,,0,6.3,
RA-46,46,2023,5,5.545383333,6.048,-0.5026166669999999,1,2.52,6.3
RA-47,47,2022,5,5.677,,,0,7.5,
RA-48,48,2022,5,8.006,,,0,7.5,
RA-48,48,2023,6,7.797058333,8.006,-0.2089416670000004,1,6.26,7.5
RA-48,48,2024,7,8.402390371800001,7.797058333,0.6053320388000012,0,9.375,6.26
RA-49,49,2022,5,6.304,,,0,7.5,
RA-49,49,2023,8,,6.304,,0,,7.5
RA-49,49,2024,8,,,,0,,
RA-50,50,2022,5,7.138,,,0,7.5,
RA-51,51,2022,5,6.488,,,0,7.5,
RA-52,52,2022,5,7.861,,,0,7.5,
RA-52,52,2023,5,7.9642,7.861,0.10320000000000018,0,2.52,7.5
RA-52,52,2024,7,8.144466666733333,7.9642,0.18026666673333303,0,6.885,2.52
RA-53,53,2022,5,6.725,,,0,7.5,
RA-53,53,2023,6,7.600633333,6.725,0.8756333330000006,0,5.63,7.5
RA-54,54,2022,5,6.058,,,0,7.5,
RA-55,55,2022,5,6.576,,,0,5.6,
RA-55,55,2023,6,6.898033333,6.576,0.32203333300000025,0,3.14,5.6
RA-56,56,2022,5,8.404,,,0,7.5,
RA-56,56,2023,6,8.284333333,8.404,-0.11966666700000061,1,5.0,7.5
RA-56,56,2024,7,9.077020175400001,8.284333333,0.792686842400002,0,10.0,5.0
RA-57,57,2022,5,7.305,,,0,5.6,
RA-57,57,2023,6,6.450875,7.305,-0.8541249999999998,1,5.63,5.6
RA-57,57,2024,7,7.4193804301999995,6.450875,0.9685054301999996,0,6.88,5.63
RA-58,58,2022,5,8.136,,,0,6.3,
RA-58,58,2023,6,7.70625,8.136,-0.4297499999999994,1,6.26,6.3
RA-58,58,2024,7,8.7713289474,7.70625,1.0650789474000009,0,7.51,6.26
RA-59,59,2022,5,7.642,,,0,7.5,
RA-59,59,2023,6,7.692291667,7.642,0.05029166699999976,0,5.63,7.5
RA-59,59,2024,8,,7.692291667,,0,,5.63
RA-60,60,2022,5,5.537,,,0,7.5,
RA-61,61,2022,5,7.533,,,0,7.5,
RA-61,61,2023,6,7.382108333,7.533,-0.15089166700000067,1,6.26,7.5
RA-62,62,2022,5,7.891,,,0,7.5,
RA-62,62,2023,7,7.610333333,7.891,-0.2806666670000002,1,6.89,7.5
RA-62,62,2024,8,,7.610333333,,0,,6.89
RA-63,63,2022,5,8.282,,,0,8.8,
RA-63,63,2023,6,8.0641,8.282,-0.2179000000000002,1,6.89,8.8
RA-64,64,2022,5,7.368,,,0,8.1,
RA-64,64,2023,6,7.452541667,7.368,0.08454166699999988,0,6.89,8.1
RA-64,64,2024,7,8.743607059266667,7.452541667,1.2910653922666668,0,8.135,6.89
RA-65,65,2022,5,7.712,,,0,7.5,
RA-66,66,2022,5,5.665,,,0,7.5,
RA-67,67,2022,5,5.195,,,0,7.5,
RA-68,68,2022,5,6.438,,,0,7.5,
RA-69,69,2022,5,5.718,,,0,7.5,
RA-70,70,2022,5,5.712,,,0,5.0,
RA-70,70,2023,5,6.869133333,5.712,1.157133333,0,5.0,5.0
RA-71,71,2022,5,4.332,,,0,7.5,
RA-71,71,2023,6,7.3651,4.332,3.0331,0,6.26,7.5
RA-72,72,2022,5,7.64,,,0,7.5,
RA-73,73,2022,5,5.271,,,0,7.5,
RA-74,74,2022,5,4.989,,,0,7.5,
RA-75,75,2022,5,3.915,,,0,6.3,
RA-76,76,2022,5,9.105,,,0,8.1,
RA-76,76,2023,7,,9.105,,0,2.52,8.1
RA-76,76,2024,7,8.152033333333334,,,0,6.885,2.52
RA-77,77,2022,5,3.846,,,0,5.0,
RA-78,78,2022,5,7.04,,,0,5.6,
RA-78,78,2023,6,6.434625,7.04,-0.6053750000000004,1,6.26,5.6
RA-78,78,2024,7,8.1780308688,6.434625,1.743405868800001,0,8.755,6.26
RA-79,79,2022,5,6.847,,,0,5.6,
RA-79,79,2023,6,6.635883333,6.847,-0.21111666700000065,1,5.0,5.6
RA-80,80,2022,5,7.29,,,0,5.0,
RA-80,80,2023,6,7.252275,7.29,-0.03772500000000001,1,6.89,5.0
RA-80,80,2024,7,8.131659175733333,7.252275,0.8793841757333327,0,8.13,6.89
RA-81,81,2022,5,7.675,,,0,5.0,
RA-81,81,2023,5,7.45425,7.675,-0.22074999999999978,1,2.52,5.0
RA-81,81,2024,6,8.256566666666668,7.45425,0.8023166666666679,0,6.26,2.52
RA-82,82,2022,5,6.596,,,0,7.5,
RA-83,83,2022,5,6.671,,,0,7.5,
RA-84,84,2022,5,6.682,,,0,5.0,
RA-84,84,2023,6,6.034416667,6.682,-0.647583333,1,2.52,5.0
RA-85,85,2022,5,6.243,,,0,5.0,
RA-85,85,2023,5,7.08435,6.243,0.8413499999999994,0,6.27,5.0
RA-85,85,2024,5,6.999509385733333,7.08435,-0.08484061426666667,1,3.755,6.27
RA-86,86,2022,5,7.566,,,0,5.6,
RA-86,86,2023,7,,7.566,,0,6.89,5.6
RA-86,86,2024,7,7.611233333266666,,,0,6.57,6.89
RA-87,87,2022,5,8.712,,,0,7.5,
RA-87,87,2023,6,8.6625,8.712,-0.0495000000000001,1,5.63,7.5
RA-87,87,2024,7,9.437924561333332,8.6625,0.7754245613333328,0,9.375,5.63
RA-88,88,2022,5,7.498,,,0,5.6,
RA-88,88,2023,8,,7.498,,0,,5.6
RA-88,88,2024,8,,,,0,,
RA-89,89,2022,5,7.323,,,0,7.5,
RA-89,89,2023,6,6.700775,7.323,-0.6222250000000003,1,5.0,7.5
RA-90,90,2022,5,9.442,,,0,9.4,
RA-90,90,2023,5,8.699408333,9.442,-0.742591667000001,1,7.52,9.4
RA-90,90,2024,7,8.352033333333335,8.699408333,-0.3473749996666644,1,6.885,7.52
RA-91,91,2022,5,6.645,,,0,5.6,
RA-91,91,2023,6,7.42395,6.645,0.77895,0,6.89,5.6
RA-91,91,2024,6,7.426704761933335,7.42395,0.002754761933335459,0,5.635,6.89
RA-92,92,2022,5,6.957,,,0,5.0,
RA-92,92,2023,6,7.375916667,6.957,0.4189166670000004,0,5.63,5.0
RA-92,92,2024,7,8.052279017,7.375916667,0.6763623499999998,0,7.51,5.63
RA-93,93,2022,5,8.941,,,0,8.1,
RA-93,93,2023,7,,8.941,,0,3.14,8.1
RA-93,93,2024,7,8.275550000066668,,,0,6.2575,3.14
RA-94,94,2022,5,8.921,,,0,8.1,
RA-94,94,2023,5,7.289333333,8.921,-1.6316666669999993,1,2.52,8.1
RA-94,94,2024,6,8.637033333333335,7.289333333,1.3477000003333348,0,6.26,2.52
RA-95,95,2022,5,6.308,,,0,7.5,
RA-96,96,2022,5,7.54,,,0,6.9,
RA-96,96,2023,6,7.610791667,7.54,0.07079166699999995,0,7.52,6.9
