ano_base,Fase_num,queda,n,ips_prev_media,delta_inde_medio
2023,1,0,69,7.04927536231884,0.5315217391304347
2023,1,1,47,6.953191489361703,-0.5416203900212765
2023,2,0,72,6.894444444444444,0.5983726851666666
2023,2,1,57,7.094736842105263,-0.5928198830350877
2023,3,0,47,6.702127659574468,0.4674460993404256
2023,3,1,56,6.966071428571429,-0.5437601190892859
2023,4,0,29,6.451724137931034,0.5770066091379311
2023,4,1,37,6.556756756756757,-0.5515601350540539
2023,5,0,8,6.25,0.5182000000000001
2023,5,1,39,6.51025641025641,-0.7041333334102565
2023,6,0,12,6.658333333333334,0.7134861111666667
2023,6,1,14,6.835714285714286,-0.31295892864285735
2023,7,0,4,7.5,0.9581999999999999
2023,7,1,2,8.15,-0.4670000000000001
2023,,0,40,7.1375,0.48813208335
2023,,1,37,6.95945945945946,-0.6960882882972973
2024,1,0,63,5.147936507936508,0.6062920456571435
2024,1,1,64,6.02453125,-0.6608844317999993
2024,2,0,58,5.966724137931035,0.47756475904137996
2024,2,1,63,5.941746031746032,-0.6221054971047614
2024,3,0,67,4.334328358208955,0.5051398655383091
2024,3,1,102,4.757941176470588,-0.7102315254839865
2024,4,0,52,4.535,0.5691051822480774
2024,4,1,23,5.205652173913043,-0.5817873861971011
2024,5,0,55,3.980363636363636,0.7338596614975762
2024,5,1,17,4.055294117647058,-0.41652526062548983
2024,6,0,13,4.24,0.906438433456411
2024,6,1,2,5.0,-0.20527380916666527
2024,7,0,19,5.078947368421052,0.717760206947369
2024,7,1,7,4.93,-1.5057069338857139
2024,,0,18,6.234999999999999,0.4474383781888894
2024,,1,59,6.152033898305084,-0.8089319089610165
