RA,ra_num,ano_base,Fase_num,IAN,IPP
RA-861,861,2023,,10.0,8.4375
RA-862,862,2023,,5.0,7.5
RA-863,863,2023,,10.0,5.9375
RA-864,864,2023,,10.0,7.5
RA-865,865,2023,,10.0,7.5
RA-866,866,2023,,10.0,7.5
RA-867,867,2023,,10.0,7.5
RA-868,868,2023,,10.0,7.1875
RA-869,869,2023,,10.0,8.125
RA-870,870,2023,,5.0,5.0
RA-871,871,2023,,5.0,4.375
RA-872,872,2023,,5.0,6.25
RA-873,873,2023,,5.0,6.25
RA-874,874,2023,,5.0,6.25
RA-875,875,2023,,5.0,7.5
RA-876,876,2023,,10.0,7.5
RA-877,877,2023,,5.0,5.0
RA-878,878,2023,,5.0,5.0
RA-879,879,2023,,5.0,6.875
RA-880,880,2023,,10.0,6.25
RA-881,881,2023,,10.0,5.0
RA-882,882,2023,,10.0,3.75
RA-883,883,2023,,10.0,6.25
RA-884,884,2023,,10.0,6.875
RA-885,885,2023,,10.0,7.5
RA-886,886,2023,,10.0,7.5
RA-887,887,2023,,10.0,7.5
RA-888,888,2023,,10.0,7.5
RA-889,889,2023,,10.0,7.5
RA-890,890,2023,,10.0,6.25
RA-891,891,2023,,5.0,7.5
RA-684,684,2023,,10.0,6.875
RA-892,892,2023,,10.0,7.5
RA-857,857,2023,,5.0,7.5
RA-893,893,2023,,5.0,7.5
RA-894,894,2023,,5.0,7.5
RA-690,690,2023,,5.0,7.5
RA-895,895,2023,,10.0,6.875
RA-896,896,2023,,10.0,7.5
RA-693,693,2023,,10.0,7.5
RA-675,675,2023,,10.0,6.875
RA-850,850,2023,,5.0,6.5625
RA-897,897,2023,,5.0,6.5625
RA-842,842,2023,,5.0,5.625
RA-898,898,2023,,5.0,8.125
RA-899,899,2023,,10.0,7.5
RA-900,900,2023,,10.0,8.125
RA-846,846,2023,,10.0,5.625
RA-901,901,2023,,5.0,6.25
RA-743,743,2023,,5.0,7.5
RA-681,681,2023,,5.0,5.625
RA-902,902,2023,,2.5,5.3125
RA-903,903,2023,,10.0,7.5
RA-851,851,2023,,5.0,5.625
RA-847,847,2023,,5.0,5.0
RA-904,904,2023,,10.0,7.8125
RA-858,858,2023,,10.0,8.125
RA-905,905,2023,,5.0,6.875
RA-702,702,2023,,5.0,7.5
RA-725,725,2023,,5.0,8.125
RA-906,906,2023,,10.0,7.5
RA-907,907,2023,,10.0,8.125
RA-908,908,2023,,10.0,8.125
RA-909,909,2023,,5.0,8.125
RA-708,708,2023,,5.0,8.125
RA-910,910,2023,,10.0,8.75
RA-671,671,2023,,5.0,5.625
RA-836,836,2023,,5.0,6.875
RA-911,911,2023,,5.0,5.3125
RA-860,860,2023,,10.0,7.5
RA-727,727,2023,,5.0,7.5
RA-739,739,2023,,5.0,6.25
RA-740,740,2023,,5.0,6.875
RA-912,912,2023,,5.0,5.625
RA-706,706,2023,,5.0,6.875
RA-840,840,2023,,5.0,7.5
RA-841,841,2023,,5.0,7.5
RA-709,709,2023,,5.0,5.625
RA-913,913,2023,,5.0,6.25
RA-726,726,2023,,10.0,5.625
RA-914,914,2023,,10.0,6.25
RA-915,915,2023,,10.0,7.5
RA-916,916,2023,,5.0,6.25
RA-917,917,2023,,10.0,6.25
RA-918,918,2023,,10.0,5.625
RA-919,919,2023,,5.0,6.25
RA-920,920,2023,,10.0,5.625
RA-921,921,2023,,10.0,5.625
RA-922,922,2023,,10.0,7.5
RA-715,715,2023,,5.0,5.625
RA-822,822,2023,,5.0,5.625
RA-923,923,2023,,10.0,7.5
RA-742,742,2023,,5.0,7.5
RA-924,924,2023,,10.0,5.625
RA-925,925,2023,,10.0,5.625
RA-853,853,2023,,5.0,6.25
RA-854,854,2023,,10.0,5.625
RA-700,700,2023,,5.0,6.25
RA-701,701,2023,,5.0,6.25
RA-856,856,2023,,10.0,5.625
RA-672,672,2023,,5.0,5.625
RA-859,859,2023,,10.0,7.5
RA-704,704,2023,,5.0,5.625
RA-741,741,2023,,5.0,5.625
RA-719,719,2023,,5.0,5.625
RA-926,926,2023,,5.0,7.5
RA-927,927,2023,,5.0,7.5
RA-928,928,2023,,10.0,8.75
RA-929,929,2023,,10.0,8.75
RA-930,930,2023,,10.0,8.75
RA-931,931,2023,,10.0,5.625
RA-932,932,2023,,10.0,8.125
RA-933,933,2023,,10.0,8.75
RA-934,934,2023,,10.0,9.375
RA-935,935,2023,,5.0,9.375
RA-936,936,2023,,10.0,8.125
RA-937,937,2023,,10.0,9.375
RA-756,756,2023,,5.0,5.625
RA-938,938,2023,,5.0,6.25
RA-939,939,2023,,5.0,7.5
RA-789,789,2023,,10.0,7.5
RA-792,792,2023,,5.0,6.875
RA-940,940,2023,,5.0,6.25
RA-941,941,2023,,10.0,5.0
RA-942,942,2023,,5.0,5.625
RA-943,943,2023,,10.0,7.5
RA-782,782,2023,,5.0,7.5
RA-768,768,2023,,5.0,7.5
RA-794,794,2023,,5.0,7.5
RA-795,795,2023,,5.0,7.5
RA-944,944,2023,,5.0,5.625
RA-945,945,2023,,10.0,6.875
RA-946,946,2023,,10.0,7.5
RA-754,754,2023,,5.0,6.875
RA-947,947,2023,,10.0,4.375
RA-948,948,2023,,10.0,6.875
RA-949,949,2023,,10.0,6.25
RA-950,950,2023,,10.0,7.5
RA-773,773,2023,,5.0,5.625
RA-951,951,2023,,10.0,7.5
RA-769,769,2023,,5.0,7.8125
RA-952,952,2023,,10.0,7.1875
RA-826,826,2023,,5.0,7.8125
RA-953,953,2023,,10.0,6.5625
RA-954,954,2023,,10.0,7.1875
RA-780,780,2023,,5.0,8.75
RA-955,955,2023,,5.0,6.875
RA-831,831,2023,,5.0,7.8125
RA-783,783,2023,,5.0,7.5
RA-774,774,2023,,5.0,5.0
RA-748,748,2023,,5.0,7.5
RA-749,749,2023,,5.0,5.625
RA-956,956,2023,,5.0,7.5
RA-787,787,2023,,5.0,5.625
RA-957,957,2023,,10.0,7.5
RA-753,753,2023,,5.0,7.5
RA-958,958,2023,,10.0,7.5
RA-755,755,2023,,5.0,7.5
RA-763,763,2023,,5.0,6.875
RA-757,757,2023,,5.0,7.5
RA-959,959,2023,,10.0,6.875
RA-960,960,2023,,5.0,5.625
RA-961,961,2023,,5.0,5.3125
RA-962,962,2023,,5.0,7.5
RA-805,805,2023,,5.0,6.25
RA-806,806,2023,,5.0,6.875
RA-807,807,2023,,5.0,6.25
RA-963,963,2023,,5.0,7.5
RA-964,964,2023,,5.0,6.875
RA-965,965,2023,,5.0,5.0
RA-966,966,2023,,5.0,6.5625
RA-967,967,2023,,5.0,5.625
RA-968,968,2023,,5.0,7.5
RA-812,812,2023,,10.0,6.875
RA-969,969,2023,,10.0,6.25
RA-970,970,2023,,10.0,9.375
RA-971,971,2023,,10.0,5.625
RA-972,972,2023,,10.0,6.875
RA-973,973,2023,,5.0,7.1875
RA-974,974,2023,,10.0,7.5
RA-975,975,2023,,10.0,5.625
RA-976,976,2023,,10.0,5.9375
RA-977,977,2023,,10.0,5.625
RA-978,978,2023,,10.0,5.625
RA-979,979,2023,,10.0,5.625
RA-980,980,2023,,10.0,5.625
RA-808,808,2023,,5.0,7.5
RA-981,981,2023,,10.0,5.625
RA-982,982,2023,,10.0,5.625
RA-983,983,2023,,10.0,6.25
RA-984,984,2023,,10.0,6.875
RA-985,985,2023,,10.0,5.625
RA-986,986,2023,,10.0,5.625
RA-987,987,2023,,10.0,6.875
RA-988,988,2023,,5.0,6.25
RA-989,989,2023,,5.0,7.5
RA-677,677,2023,,5.0,6.875
RA-990,990,2023,,5.0,7.5
RA-991,991,2023,,5.0,6.875
RA-992,992,2023,,5.0,5.0
RA-703,703,2023,,5.0,6.875
RA-993,993,2023,,10.0,7.5
RA-674,674,2023,,5.0,5.0
RA-994,994,2023,,10.0,5.625
RA-995,995,2023,,5.0,6.25
RA-996,996,2023,,5.0,7.5
RA-997,997,2023,,10.0,5.625
