ano_base,Fase_num,IDA_faixa,IEG_faixa,IPS_faixa,IPP_faixa,n,inde_medio
2023,1,Q1_baixo,Q1_baixo,Q1_baixo,Q1_baixo,0,
2023,1,Q1_baixo,Q1_baixo,Q1_baixo,Q2,1,5.331166667
2023,1,Q1_baixo,Q1_baixo,Q1_baixo,Q3,0,
2023,1,Q1_baixo,Q1_baixo,Q1_baixo,Q4_alto,0,
2023,1,Q1_baixo,Q1_baixo,Q2,Q1_baixo,1,6.138366667
2023,1,Q1_baixo,Q1_baixo,Q2,Q2,0,
2023,1,Q1_baixo,Q1_baixo,Q2,Q3,0,
2023,1,Q1_baixo,Q1_baixo,Q2,Q4_alto,0,
2023,1,Q1_baixo,Q1_baixo,Q3,Q1_baixo,0,
2023,1,Q1_baixo,Q1_baixo,Q3,Q2,0,
2023,1,Q1_baixo,Q1_baixo,Q3,Q3,0,
2023,1,Q1_baixo,Q1_baixo,Q3,Q4_alto,0,
2023,1,Q1_baixo,Q1_baixo,Q4_alto,Q1_baixo,2,5.9811
2023,1,Q1_baixo,Q1_baixo,Q4_alto,Q2,1,6.1105
2023,1,Q1_baixo,Q1_baixo,Q4_alto,Q3,2,6.146016667
2023,1,Q1_baixo,Q1_baixo,Q4_alto,Q4_alto,0,
2023,1,Q1_baixo,Q2,Q1_baixo,Q1_baixo,2,6.595491666999999
2023,1,Q1_baixo,Q2,Q1_baixo,Q2,1,6.6097
2023,1,Q1_baixo,Q2,Q1_baixo,Q3,0,
2023,1,Q1_baixo,Q2,Q1_baixo,Q4_alto,0,
2023,1,Q1_baixo,Q2,Q2,Q1_baixo,0,
2023,1,Q1_baixo,Q2,Q2,Q2,1,6.5447
2023,1,Q1_baixo,Q2,Q2,Q3,0,
2023,1,Q1_baixo,Q2,Q2,Q4_alto,0,
2023,1,Q1_baixo,Q2,Q3,Q1_baixo,0,
2023,1,Q1_baixo,Q2,Q3,Q2,0,
2023,1,Q1_baixo,Q2,Q3,Q3,0,
2023,1,Q1_baixo,Q2,Q3,Q4_alto,0,
2023,1,Q1_baixo,Q2,Q4_alto,Q1_baixo,2,6.50125
2023,1,Q1_baixo,Q2,Q4_alto,Q2,0,
2023,1,Q1_baixo,Q2,Q4_alto,Q3,1,7.5867
2023,1,Q1_baixo,Q2,Q4_alto,Q4_alto,0,
2023,1,Q1_baixo,Q3,Q1_baixo,Q1_baixo,1,6.964616667
2023,1,Q1_baixo,Q3,Q1_baixo,Q2,0,
2023,1,Q1_baixo,Q3,Q1_baixo,Q3,0,
2023,1,Q1_baixo,Q3,Q1_baixo,Q4_alto,0,
2023,1,Q1_baixo,Q3,Q2,Q1_baixo,1,7.177033333
2023,1,Q1_baixo,Q3,Q2,Q2,0,
2023,1,Q1_baixo,Q3,Q2,Q3,0,
2023,1,Q1_baixo,Q3,Q2,Q4_alto,0,
2023,1,Q1_baixo,Q3,Q3,Q1_baixo,0,
2023,1,Q1_baixo,Q3,Q3,Q2,0,
2023,1,Q1_baixo,Q3,Q3,Q3,0,
2023,1,Q1_baixo,Q3,Q3,Q4_alto,0,
2023,1,Q1_baixo,Q3,Q4_alto,Q1_baixo,0,
