ano_base,Fase_num,categoria_risco,qtd
2022,0,ALTO,48
2022,0,BAIXO,64
2022,0,MEDIO,78
2022,1,ALTO,31
2022,1,BAIXO,89
2022,1,MEDIO,72
2022,2,ALTO,51
2022,2,BAIXO,32
2022,2,MEDIO,72
2022,3,ALTO,85
2022,3,BAIXO,14
2022,3,MEDIO,49
2022,4,ALTO,30
2022,4,BAIXO,15
2022,4,MEDIO,31
2022,5,ALTO,29
2022,5,BAIXO,15
2022,5,MEDIO,16
2022,6,ALTO,5
2022,6,BAIXO,10
2022,6,MEDIO,3
2022,7,ALTO,11
2022,7,BAIXO,5
2022,7,MEDIO,5
2023,1,ALTO,37
2023,1,BAIXO,89
2023,1,MEDIO,47
2023,2,ALTO,63
2023,2,BAIXO,39
2023,2,MEDIO,97
2023,3,ALTO,78
2023,3,BAIXO,16
2023,3,MEDIO,38
2023,4,ALTO,61
2023,4,BAIXO,9
2023,4,MEDIO,18
2023,5,ALTO,42
2023,5,BAIXO,4
2023,5,MEDIO,19
2023,6,ALTO,13
2023,6,BAIXO,9
2023,6,MEDIO,11
2023,7,ALTO,1
2023,7,BAIXO,4
2023,7,MEDIO,5
2023,,ALTO,57
2023,,BAIXO,115
2023,,MEDIO,59
2024,1,ALTO,33
2024,1,BAIXO,102
2024,1,MEDIO,50
2024,2,ALTO,70
2024,2,BAIXO,56
2024,2,MEDIO,59
2024,3,ALTO,99
2024,3,BAIXO,51
2024,3,MEDIO,61
2024,4,ALTO,41
2024,4,BAIXO,33
2024,4,MEDIO,41
2024,5,ALTO,25
2024,5,BAIXO,42
2024,5,MEDIO,33
2024,6,ALTO,3
2024,6,BAIXO,14
2024,6,MEDIO,8
2024,7,ALTO,10
2024,7,BAIXO,12
2024,7,MEDIO,15
2024,,ALTO,45
2024,,BAIXO,100
2024,,MEDIO,51
