RA,ra_num,ano_base,Fase_num,categoria_risco,score_risco,IAN,INDE_final,IPS,IEG,queda_recente,delta_INDE
RA-852,852,2022,0,ALTO,0.8020913884007028,10.0,5.666,5.0,6.8,0,
RA-695,695,2022,0,ALTO,0.7725834797891037,10.0,4.28,7.5,3.1,0,
RA-724,724,2022,0,ALTO,0.7185325131810193,10.0,6.931,5.6,5.9,0,
RA-739,739,2022,0,ALTO,0.7108347978910368,10.0,6.82,5.6,7.3,0,
RA-824,824,2022,0,ALTO,0.7033831282952547,10.0,6.799,6.9,4.4,0,
RA-776,776,2022,0,ALTO,0.7021001757469243,5.0,3.898,4.4,4.3,0,
RA-800,800,2022,0,ALTO,0.6760193321616871,10.0,6.818,7.5,5.4,0,
RA-775,775,2022,0,ALTO,0.6700966608084358,5.0,5.79,4.4,5.7,0,
RA-712,712,2022,0,ALTO,0.6569420035149385,5.0,6.026,5.0,5.1,0,
RA-813,813,2022,0,ALTO,0.6555887521968365,10.0,7.093,6.9,6.5,0,
RA-783,783,2022,0,ALTO,0.654323374340949,10.0,6.996,7.5,5.8,0,
RA-809,809,2022,0,ALTO,0.6479789103690685,10.0,7.259,6.3,6.6,0,
RA-844,844,2022,0,ALTO,0.6473813708260105,10.0,6.253,8.1,5.0,0,
RA-738,738,2022,0,ALTO,0.6466959578207381,10.0,7.227,5.6,8.1,0,
RA-858,858,2022,0,ALTO,0.6378119507908612,10.0,7.523,5.6,7.1,0,
RA-725,725,2022,0,ALTO,0.6361247803163443,10.0,6.33,8.1,5.9,0,
RA-726,726,2022,0,ALTO,0.6310720562390157,10.0,6.985,7.5,7.5,0,
RA-754,754,2022,0,ALTO,0.6269947275922672,5.0,6.602,4.4,5.8,0,
RA-703,703,2022,0,ALTO,0.6254657293497363,5.0,6.099,5.0,7.4,0,
RA-702,702,2022,0,ALTO,0.6247275922671353,10.0,7.387,5.0,8.6,0,
RA-812,812,2022,0,ALTO,0.6147451669595781,10.0,7.497,5.6,8.1,0,
RA-709,709,2022,0,ALTO,0.6139103690685412,5.0,5.313,7.5,3.5,0,
RA-777,777,2022,0,ALTO,0.6136203866432338,10.0,7.096,7.5,7.7,0,
RA-839,839,2022,0,ALTO,0.6102460456942004,5.0,5.198,7.5,5.1,0,
RA-811,811,2022,0,ALTO,0.6100790861159929,5.0,6.575,5.6,5.7,0,
RA-835,835,2022,0,ALTO,0.6065289982425307,10.0,7.263,7.5,7.3,0,
RA-719,719,2022,0,ALTO,0.6057381370826009,5.0,5.552,7.5,4.6,0,
RA-751,751,2022,0,ALTO,0.6041827768014059,5.0,5.246,7.5,5.8,0,
RA-779,779,2022,0,ALTO,0.5988576449912126,5.0,5.702,7.5,5.0,0,
RA-846,846,2022,0,ALTO,0.5914235500878735,10.0,7.412,7.5,7.2,0,
RA-683,683,2022,0,ALTO,0.5874692442882249,5.0,6.011,7.5,5.0,0,
RA-685,685,2022,0,ALTO,0.5871089630931459,5.0,6.864,5.0,6.2,0,
RA-689,689,2022,0,ALTO,0.5822671353251317,5.0,6.433,5.6,7.9,0,
RA-823,823,2022,0,ALTO,0.58006151142355,5.0,5.989,7.5,6.0,0,
RA-818,818,2022,0,ALTO,0.5797451669595781,10.0,7.483,7.5,7.3,0,
RA-773,773,2022,0,ALTO,0.5740597539543058,5.0,6.922,5.0,6.8,0,
RA-711,711,2022,0,ALTO,0.5726362038664323,5.0,6.04,6.3,7.9,0,
RA-806,806,2022,0,ALTO,0.5713620386643232,10.0,7.561,7.5,7.3,0,
RA-750,750,2022,0,ALTO,0.5698418277680141,5.0,6.344,4.4,8.9,0,
RA-743,743,2022,0,ALTO,0.5625483304042179,5.0,6.672,5.6,7.9,0,
RA-850,850,2022,0,ALTO,0.5607117750439368,10.0,7.641,7.5,7.3,0,
RA-851,851,2022,0,ALTO,0.5604217926186291,10.0,7.515,7.5,7.9,0,
RA-714,714,2022,0,ALTO,0.5563796133567662,5.0,6.953,5.6,6.9,0,
RA-715,715,2022,0,ALTO,0.5560808435852372,5.0,6.656,4.4,8.7,0,
RA-847,847,2022,0,ALTO,0.555896309314587,5.0,6.839,4.4,8.2,0,
